uid,session_id,timestamp,qid,ans,elapsed_b,delta_b,split
476,0,1561522500603,6355,0,1,0,train
476,0,1561522515901,3692,2,1,1,train
476,0,1561522543830,3817,1,2,1,train
476,0,1561522573293,5248,0,2,1,train
476,0,1561522590858,3914,0,1,1,train
476,0,1561522611531,6119,2,2,1,train
476,0,1561522645138,3922,1,3,1,train
476,0,1561522678691,6753,0,2,1,train
476,0,1561522711823,5019,1,3,1,train
476,0,1561522743127,4145,0,2,1,train
476,0,1561523049346,240,0,2,3,train
476,0,1561523081120,742,1,2,1,train
476,0,1561523118036,818,0,2,1,train
476,0,1561523149201,11263,1,2,1,train
476,0,1561523178389,523,2,1,1,train
476,0,1561523198262,1039,0,1,1,train
476,0,1561523218184,1066,1,1,1,train
476,0,1561523243081,11259,1,2,1,train
476,0,1561523267472,906,0,1,1,train
476,0,1561523292124,1034,2,1,1,train
